Library_101928
safe
NFYA
PLXND1
RBM6
RECQL
ARX
DVL2
DHX33
GCFC2
SOX8
ZNF195
ZFX
ZNF263
DLX6
GTF2IRD1
CRAMP1L
TEAD3
JARID2
TFAP2B
TFAP2D
PLEKHG6
NFIX
MED24
CSDE1
MLXIPL
ETV7
ZNF207
ZNF200
HIVEP2
TCEB3
UTP18
WIZ
ZBTB32
ZC3H3
YAF2
WWTR1
ZNF582
SAMD4A
ZNF839
SNAPC1
DEPDC1
PHF20
POU2F2
BRD9
TBPL1
ARNTL2
HMGB3
IKZF2
ZCCHC8
DEPDC1B
ZZZ3
MRI1
HOXC8
BOD1L1
VCAN
SKIV2L2
SOX30
LSG1
THAP3
SPATA7
MED17
GEMIN8
YTHDC2
SCML1
ZNF800
LMO3
RSF1
CELF2
PER3
RFC2
ARID1B
FOXP3
NFE2L3
THOC3
RRP12
ALX4
METTL24
MRTO4
ZFR
ZNF280C
PHF21B
PRDM1
MTA3
POLR3E
ZC3H11A
PARP12
TARBP1
SNRNP40
PRDM6
SFSWAP
GPBP1
MED29
AHRR
GSC2
ZNF275
DMRT3
MEF2BNB-MEF2B
RFXANK
SUGP2
ZNF76
NTN1
ANKRD44
ADAT1
TLE2
FOXJ2
DIP2B
SMARCD1
KDM4A
SPI1
ZBTB11
TRMT11
THUMPD1
ZFAT
SP100
NEO1
DNTTIP2
MEF2A
SRBD1
PITX1
HES2
SMG6
FGF22
ZXDC
JMJD6
C16orf80
EIF2B3
LMCD1
TRIP13
PDCD2
TRPC5
NLE1
KDM5A
IGF2BP2
TBX21
TEAD2
ZNF532
ARHGEF10L
ZNF638
ZNF37A
FOSL2
SART3
EXOSC7
RBMS2
BAZ2A
RGS11
GPATCH1
MBNL3
GTF3C1
EXOSC5
LRCH4
SIRT6
GTF2I
TULP3
RBFOX1
CBFA2T2
SP140
REXO1
RAPGEF3
KIF22
DDX43
RFX3
SRCAP
TCF7
ZNF510
ZNF506
JMJD4
SMARCD3
GEMIN5
GRHL2
NUFIP1
ZNF324
ZNF671
ZNF416
ZNF586
ZNF446
YTHDC1
SSH1
APLP2
EIF3I
KIF3C
BCORL1
MYNN
ZNF213
RRN3
ORC1
RBM22
SRRT
TFAP2C
PIR
RFX2
CNOT3
ASAP3
ANKRD10
C20orf194
ZNF343
EBF4
RPL6
ESF1
ZNF302
KCNH4
RBM41
DDX24
ZBTB25
RCOR1
TFAP4
PDCD7
ZNF268
TNRC6A
NAT14
RBM27
POU4F3
SLC26A3
ORC6
ZFHX4
CEBPE
SLC22A17
TOX4
GEMIN2
TINF2
TBL1Y
TBX15
AGO1
CWF19L1
IKZF5
CREM
HIVEP1
ZNF184
HNRNPH3
ABLIM1
H2AFY2
MZF1
CIRBP
HNRNPM
RASSF7
TRMT2A
MED15
LZTR1
SUSD2
TOP3B
DGCR14
NOL12
TFIP11
ANKRD54
EIF3L
DEPDC5
DDX17
TCF20
POLDIP3
ZMAT5
RBFOX2
EIF3D
TNRC6B
L3MBTL2
PHF5A
ZBED4
RBM23
SOS2
PLEK2
SRSF5
ZC3H14
YY1
PABPN1
BRMS1L
NFATC4
VSX1
NFATC2
PABPC1L
SALL4
ADNP
CSTF1
NELFCD
PRPF6
MRGBP
TCFL5
DIDO1
GMEB2
NOP56
DHX35
DNTTIP1
