symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
A0A024R0H7,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024R0H7,HPA,1
A0A024R1A3,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024R1A3,HPA,1
A0A024R2D7,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024R2D7,HPA,1
A0A024R3Y4,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024R3Y4,HPA,1
A0A024R693,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024R693,HPA,1
A0A024R713,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024R713,HPA,1
A0A024R811,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024R811,HPA,1
A0A024RB53,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024RB53,HPA,1
A0A024RCM3,GO:0016607,nuclear speck,IDA,ECO:0000314,GO_REF:0000052,A0A024RCM3,HPA,1
A0A024RCN9,GO:0005654;GO:0016607,nuclear speck;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024RCN9,HPA,2
A0A024RCP3,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024RCP3,HPA,1
A0A024RCR3,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024RCR3,HPA,1
A0A024RCS3,GO:0005654;GO:0016604,nuclear body;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024RCS3,HPA,2
A0A024RCW8,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A024RCW8,HPA,1
A0A0B4J203,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A0B4J203,HPA,1
A0A140VJD0,GO:0005654;GO:0005730,nucleolus;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJD0,HPA,2
A0A140VJE0,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJE0,HPA,1
A0A140VJE5,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJE5,HPA,1
A0A140VJF3,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJF3,HPA,1
A0A140VJG1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJG1,HPA,1
A0A140VJG3,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJG3,HPA,1
A0A140VJI9,GO:0005654;GO:0005730,nucleolus;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJI9,HPA,2
A0A140VJN0,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJN0,HPA,1
A0A140VJQ2,GO:0005654;GO:0005730,nucleolus;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJQ2,HPA,2
A0A140VJS0,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJS0,HPA,1
A0A140VJS6,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJS6,HPA,1
A0A140VJS7,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJS7,HPA,1
A0A140VJS9,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJS9,HPA,1
A0A140VJT8,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VJT8,HPA,1
A0A140VK09,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VK09,HPA,1
A0A140VK28,GO:0005654;GO:0005730,nucleolus;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VK28,HPA,2
A0A140VK39,GO:0005654;GO:0016604,nuclear body;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VK39,HPA,2
A0A140VK44,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VK44,HPA,1
A0A140VK45,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VK45,HPA,1
A0A140VK46,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VK46,HPA,1
A0A140VK53,GO:0016607,nuclear speck,IDA,ECO:0000314,GO_REF:0000052,A0A140VK53,HPA,1
A0A140VK54,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VK54,HPA,1
A0A140VKC1,GO:0005730,nucleolus,IDA,ECO:0000314,GO_REF:0000052,A0A140VKC1,HPA,1
A0A140VKD3,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VKD3,HPA,1
A0A140VKF2,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A140VKF2,HPA,1
A0A1U9X796,GO:0005654;GO:0005730,nucleolus;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A1U9X796,HPA,2
A0A1U9X7A6,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A1U9X7A6,HPA,1
A0A1U9X7S4,GO:0016607,nuclear speck,IDA,ECO:0000314,GO_REF:0000052,A0A1U9X7S4,HPA,1
A0A1U9X830,GO:0005654;GO:0016604,nuclear body;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A0A1U9X830,HPA,2
