symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
A1CF,GO:0005654,nucleoplasm,IDA;TAS,ECO:0000304;ECO:0000314,GO_REF:0000052;Reactome:R-HSA-77608;Reactome:R-HSA-77609;Reactome:R-HSA-83677,Q9NQ94,HPA;Reactome,4
A8MVJ9,GO:0006302;GO:0006974;GO:0140861,DNA damage response;DNA repair-dependent chromatin remodeling;double-strand break repair,IBA;IEA,ECO:0000256;ECO:0000318,GO_REF:0000002;GO_REF:0000033,A8MVJ9,GO_Central;InterPro,3
AAAS,GO:0005635;GO:0005643;GO:0005654;GO:0031965,nuclear envelope;nuclear membrane;nuclear pore;nucleoplasm,IBA;IDA;IEA;NAS;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0005547;ECO:0007322,GO_REF:0000033;GO_REF:0000044;GO_REF:0000052;PMID:12730363;PMID:24315095;PMID:27754849;Reactome:R-HSA-1176059;Reactome:R-HSA-165043;Reactome:R-HSA-165047;Reactome:R-HSA-170796;Reactome:R-HSA-170825;Reactome:R-HSA-180622;Reactome:R-HSA-192627;Reactome:R-HSA-192925;Reactome:R-HSA-2990880;Reactome:R-HSA-2990882;Reactome:R-HSA-3000348;Reactome:R-HSA-3000399;Reactome:R-HSA-3000411;Reactome:R-HSA-4551649;Reactome:R-HSA-4551679;Reactome:R-HSA-4570493;Reactome:R-HSA-4615872;Reactome:R-HSA-4615987;Reactome:R-HSA-4655355;Reactome:R-HSA-5228508;Reactome:R-HSA-5228523;Reactome:R-HSA-5252041;Reactome:R-HSA-5578744;Reactome:R-HSA-5661474;Reactome:R-HSA-6783483;Reactome:R-HSA-75096;Reactome:R-HSA-75097;Reactome:R-HSA-75098;Reactome:R-HSA-9614367;Reactome:R-HSA-9614369;Reactome:R-HSA-9708889,Q9NRG9,ComplexPortal;GO_Central;HPA;MGI;Reactome;UniProt,41
AATF,GO:0005730;GO:0032040,nucleolus;small-subunit processome,IBA;IDA;IEA;NAS,ECO:0000314;ECO:0000318;ECO:0000501;ECO:0005547,GO_REF:0000033;GO_REF:0000052;GO_REF:0000120;PMID:34516797,Q9NY61,ComplexPortal;GO_Central;HPA;UniProt,6
ABCA6,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q8N139,HPA,1
ABCF1,GO:0005635;GO:0005654,nuclear envelope;nucleoplasm,IEA,ECO:0007322,GO_REF:0000044,Q8NE71,UniProt,2
ABHD14B,GO:0005654;GO:0005730,nucleolus;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q96IU4,HPA,2
ABHD16B,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9H3Z7,HPA,1
ABI2,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9NYB9,HPA,1
ABITRAM,GO:0016607,nuclear speck,IEA,ECO:0000501,GO_REF:0000120,Q9NX38,UniProt,1
ABL1,GO:0005654;GO:0005730;GO:0006281;GO:0006298;GO:0006974;GO:0008630;GO:0016604;GO:0031965;GO:0042770,DNA damage response;DNA repair;intrinsic apoptotic signaling pathway in response to DNA damage;mismatch repair;nuclear body;nuclear membrane;nucleolus;nucleoplasm;signal transduction in response to DNA damage,IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0007322,GO_REF:0000043;GO_REF:0000044;GO_REF:0000052;PMID:10391249;PMID:12944467;PMID:15657060;PMID:17626041;PMID:18280240;PMID:20841568;PMID:9037071;Reactome:R-HSA-5686578;Reactome:R-HSA-5686587;Reactome:R-HSA-8956659;Reactome:R-HSA-9841924;Reactome:R-HSA-9842028,P00519,HPA;MGI;PINC;Reactome;UniProt,19
ABRAXAS1,GO:0005654;GO:0006281;GO:0006302;GO:0006974;GO:0007095;GO:0016604,DNA damage response;DNA repair;double-strand break repair;mitotic G2 DNA damage checkpoint signaling;nuclear body;nucleoplasm,IDA;IEA;IMP;TAS,ECO:0000304;ECO:0000314;ECO:0000315;ECO:0007322,GO_REF:0000043;GO_REF:0000052;PMID:17525340;PMID:17643121;PMID:19261748;Reactome:R-HSA-5683384;Reactome:R-HSA-5683385;Reactome:R-HSA-5683735;Reactome:R-HSA-5683801;Reactome:R-HSA-5684052;Reactome:R-HSA-5684071;Reactome:R-HSA-5686685;Reactome:R-HSA-5691411;Reactome:R-HSA-5693551;Reactome:R-HSA-69891,Q6UWZ7,HPA;Reactome;UniProt,19
ABT1,GO:0005730,nucleolus,IBA;IEA,ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000044,Q9ULW3,GO_Central;UniProt,2
ABTB2,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q8N961,HPA,1
ABTB3,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,A6QL63,HPA,1
