symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
ACD,GO:0005654;GO:0016604;GO:0031848,nuclear body;nucleoplasm;protection from non-homologous end joining at telomere,IDA;IEA;ISS;TAS,ECO:0000250;ECO:0000256;ECO:0000265;ECO:0000304;ECO:0000314,GO_REF:0000052;GO_REF:0000107;GO_REF:0000117;PMID:18185984;Reactome:R-HSA-163090;Reactome:R-HSA-163096;Reactome:R-HSA-163099;Reactome:R-HSA-163120;Reactome:R-HSA-164617;Reactome:R-HSA-164620;Reactome:R-HSA-174425;Reactome:R-HSA-174427;Reactome:R-HSA-174438;Reactome:R-HSA-174439;Reactome:R-HSA-174441;Reactome:R-HSA-174444;Reactome:R-HSA-174445;Reactome:R-HSA-174446;Reactome:R-HSA-174447;Reactome:R-HSA-174448;Reactome:R-HSA-174451;Reactome:R-HSA-174452;Reactome:R-HSA-174456;Reactome:R-HSA-176700;Reactome:R-HSA-176702;Reactome:R-HSA-181450;Reactome:R-HSA-3785711;Reactome:R-HSA-9629195;Reactome:R-HSA-9629216;Reactome:R-HSA-9668597;Reactome:R-HSA-9670101;Reactome:R-HSA-9670114;Reactome:R-HSA-9686521;Reactome:R-HSA-9686524,Q96AP0,BHF-UCL;Ensembl;HPA;Reactome;UniProt,34
ACER2,GO:0006974;GO:0030330,"DNA damage response;DNA damage response, signal transduction by p53 class mediator",IDA;IMP,ECO:0000314;ECO:0000315,PMID:26943039;PMID:28294157;PMID:29229990,Q5QJU3,UniProt,3
ACIN1,GO:0005654;GO:0016607;GO:0031981,nuclear lumen;nuclear speck;nucleoplasm,IDA;IEA;TAS,ECO:0000256;ECO:0000304;ECO:0000314;ECO:0007322,GO_REF:0000044;GO_REF:0000052;GO_REF:0000117;PMID:20966198;Reactome:R-HSA-9770131;Reactome:R-HSA-9770141;Reactome:R-HSA-9770142;Reactome:R-HSA-9770145;Reactome:R-HSA-9770236;Reactome:R-HSA-9770847;Reactome:R-HSA-9794542,Q9UKV3,HPA;Reactome;UniProt,12
ACTB,GO:0005654;GO:0016363,nuclear matrix;nucleoplasm,NAS;TAS,ECO:0000304;ECO:0005547,PMID:9128241;Reactome:R-HSA-5250947;Reactome:R-HSA-5689544;Reactome:R-HSA-9825847;Reactome:R-HSA-9933236;Reactome:R-HSA-9933237;Reactome:R-HSA-9933238;Reactome:R-HSA-9934021;Reactome:R-HSA-9934024;Reactome:R-NUL-4551334,P60709,ComplexPortal;Reactome,10
ACTL6A,GO:0005654;GO:0006281;GO:0006974;GO:0016363;GO:0031011,DNA damage response;DNA repair;Ino80 complex;nuclear matrix;nucleoplasm,IDA;IEA;NAS;TAS,ECO:0000256;ECO:0000304;ECO:0000314;ECO:0005547;ECO:0007322,GO_REF:0000043;GO_REF:0000052;GO_REF:0000117;PMID:18026119;PMID:21303910;PMID:9128241;Reactome:R-HSA-5689544;Reactome:R-HSA-9825847;Reactome:R-HSA-9933236;Reactome:R-HSA-9933237;Reactome:R-HSA-9933238;Reactome:R-HSA-9934021;Reactome:R-HSA-9934024;Reactome:R-NUL-4551334,O96019,ComplexPortal;HPA;Reactome;UniProt,16
ACTL6B,GO:0016363,nuclear matrix,NAS,ECO:0005547,PMID:9128241,O94805,ComplexPortal,1
ACTR2,GO:0005730,nucleolus,IDA,ECO:0000314,GO_REF:0000052,P61160,HPA,1
ACTR5,GO:0005654;GO:0006281;GO:0006302;GO:0006974;GO:0031011;GO:0070914,DNA damage response;DNA repair;double-strand break repair;Ino80 complex;nucleoplasm;UV-damage excision repair,IBA;IDA;IEA;IMP;TAS,ECO:0000304;ECO:0000314;ECO:0000315;ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000043;PMID:18026119;PMID:19014934;PMID:20855601;PMID:21303910;Reactome:R-HSA-5689544,Q9H9F9,ComplexPortal;GO_Central;Reactome;UniProt,9
ACTR6,GO:0000812;GO:0005730,nucleolus;Swr1 complex,IBA;IDA;IEA,ECO:0000314;ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000044;PMID:26164235;PMID:30337683,Q9GZN1,GO_Central;UniProt,4
ACTR8,GO:0005654;GO:0006281;GO:0006302;GO:0006974;GO:0031011,DNA damage response;DNA repair;double-strand break repair;Ino80 complex;nucleoplasm,IBA;IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000043;GO_REF:0000052;PMID:18026119;PMID:21303910;Reactome:R-HSA-5689544,Q9H981,ComplexPortal;GO_Central;HPA;Reactome;UniProt,9
ADAD1,GO:0005730,nucleolus,IBA,ECO:0000318,GO_REF:0000033,Q96M93,GO_Central,1
ADAD2,GO:0005730,nucleolus,IBA,ECO:0000318,GO_REF:0000033,Q8NCV1,GO_Central,1
ADAMTS4,GO:0016607,nuclear speck,IDA,ECO:0000314,GO_REF:0000052,O75173,HPA,1
ADAMTS5,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9UNA0,HPA,1
ADAR,GO:0005654;GO:0005730;GO:0031981,nuclear lumen;nucleolus;nucleoplasm,IBA;IDA;IEA;TAS,ECO:0000256;ECO:0000304;ECO:0000314;ECO:0000318;ECO:0000501,GO_REF:0000033;GO_REF:0000052;GO_REF:0000117;GO_REF:0000120;PMID:12665561;Reactome:R-HSA-1015702;Reactome:R-HSA-111237;Reactome:R-HSA-75090;Reactome:R-HSA-77614,P55265,GO_Central;HPA;Reactome;UniProt,10
ADARB1,GO:0005654;GO:0005730,nucleolus;nucleoplasm,IBA;IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000044;GO_REF:0000052;PMID:18178553;PMID:21289159;PMID:32220291;Reactome:R-HSA-111238;Reactome:R-HSA-77613;Reactome:R-HSA-77615,P78563,GO_Central;HPA;Reactome;UniProt,10
ADARB2,GO:0005730,nucleolus,IBA,ECO:0000318,GO_REF:0000033,Q9NS39,GO_Central,1
ADAT1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9BUB4,HPA,1
ADAT2,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-6782311,Q7Z6V5,Reactome,1
ADAT3,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-6782311,Q96EY9,Reactome,1
ADD1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,P35611,HPA,1
ADD3,GO:0000794,condensed nuclear chromosome,IEA,ECO:0000265,GO_REF:0000107,Q9UEY8,Ensembl,1
ADI1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9BV57,HPA,1
ADIRF,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q15847,HPA,1
ADK,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,P55263,HPA,1
ADPRS,GO:0005654;GO:0006281;GO:0006287;GO:0006974,"base-excision repair, gap-filling;DNA damage response;DNA repair;nucleoplasm",IDA;IEA;IMP;TAS,ECO:0000304;ECO:0000314;ECO:0000315;ECO:0007322,GO_REF:0000043;GO_REF:0000052;PMID:30045870;Reactome:R-HSA-110373,Q9NX46,HPA;Reactome;UniProt,5
ADRA1A,GO:0031965,nuclear membrane,IDA;IEA,ECO:0000314;ECO:0000501,GO_REF:0000120;PMID:22120526,P35348,UniProt,2
ADRA1B,GO:0031965,nuclear membrane,IDA;IEA,ECO:0000314;ECO:0000501,GO_REF:0000120;PMID:22120526,P35368,UniProt,2
ADRM1,GO:0005654,nucleoplasm,IDA;TAS,ECO:0000304;ECO:0000314,GO_REF:0000052;Reactome:R-HSA-174058;Reactome:R-HSA-187574;Reactome:R-HSA-188191;Reactome:R-HSA-5635854;Reactome:R-HSA-68825;Reactome:R-HSA-69600;Reactome:R-HSA-8939801;Reactome:R-HSA-8952408;Reactome:R-HSA-9762096;Reactome:R-NUL-9604648,Q16186,HPA;Reactome,11
AEBP2,GO:0005654;GO:0035098,ESC/E(Z) complex;nucleoplasm,IBA;IDA;IEA;IPI;ISS;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0000353;ECO:0000501;ECO:0005546,GO_REF:0000033;GO_REF:0000052;GO_REF:0000114;GO_REF:0000120;PMID:20075857;PMID:29348366;PMID:33514705;Reactome:R-HSA-212252;Reactome:R-HSA-212263;Reactome:R-HSA-5638332,Q6ZN18,ComplexPortal;GO_Central;HPA;Reactome;UniProt,10
AEN,GO:0005654;GO:0005730;GO:0006974;GO:0031965;GO:0042771,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;nuclear membrane;nucleolus;nucleoplasm,IBA;IDA;IEA,ECO:0000314;ECO:0000318;ECO:0000501;ECO:0007322,GO_REF:0000033;GO_REF:0000043;GO_REF:0000052;GO_REF:0000120;PMID:16171785;PMID:18264133,Q8WTP8,GO_Central;HPA;UniProt,10
AFDN,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,P55196,HPA,1
AFF1,GO:0008023;GO:0032783,super elongation complex;transcription elongation factor complex,IBA;IDA,ECO:0000314;ECO:0000318,GO_REF:0000033;PMID:22195968,P51825,GO_Central;UniProt,2
AFF2,GO:0016607;GO:0032783,nuclear speck;super elongation complex,IBA;IDA;IEA,ECO:0000314;ECO:0000318;ECO:0000501,GO_REF:0000033;GO_REF:0000120;PMID:19136466,P51816,GO_Central;UniProt,4
AFF3,GO:0005654;GO:0032783,nucleoplasm;super elongation complex,IBA;IDA,ECO:0000314;ECO:0000318,GO_REF:0000033;GO_REF:0000052,P51826,GO_Central;HPA,2
AFF4,GO:0001650;GO:0005654;GO:0008023;GO:0016604;GO:0032783,fibrillar center;nuclear body;nucleoplasm;super elongation complex;transcription elongation factor complex,IBA;IDA;TAS,ECO:0000304;ECO:0000314;ECO:0000318,GO_REF:0000033;GO_REF:0000052;PMID:22195968;Reactome:R-HSA-112379;Reactome:R-HSA-112381;Reactome:R-HSA-112385;Reactome:R-HSA-112392;Reactome:R-HSA-112395;Reactome:R-HSA-112396;Reactome:R-HSA-113411;Reactome:R-HSA-113412;Reactome:R-HSA-113413;Reactome:R-HSA-113414;Reactome:R-HSA-113429,Q9UHB7,GO_Central;HPA;Reactome;UniProt,16
AGAP2,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q99490,HPA,1
AGER,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,Q15109,UniProt,2
AGFG1,GO:0005643,nuclear pore,TAS,ECO:0000304,PMID:7637788,P52594,PINC,1
AGL,GO:0005654;GO:0016604,nuclear body;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,P35573,HPA,2
AGO1,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-5578742,Q9UL18,Reactome,1
AGO2,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-5578742;Reactome:R-HSA-5578744;Reactome:R-HSA-5578966,Q9UKV8,Reactome,3
AGO3,GO:0000794,condensed nuclear chromosome,IEA,ECO:0000265,GO_REF:0000107,Q9H9G7,Ensembl,1
AGPAT3,GO:0005635,nuclear envelope,IDA;IEA,ECO:0000314;ECO:0007322,GO_REF:0000044;PMID:21173190,Q9NRZ7,UniProt,2
AGPAT5,GO:0005635,nuclear envelope,IDA;IEA,ECO:0000314;ECO:0007322,GO_REF:0000044;PMID:21173190,Q9NUQ2,UniProt,2
AGTPBP1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9UPW5,HPA,1
AHCTF1,GO:0005635;GO:0005643;GO:0005654;GO:0016363;GO:0016604;GO:0031080;GO:0031965,nuclear body;nuclear envelope;nuclear matrix;nuclear membrane;nuclear pore;nuclear pore outer ring;nucleoplasm,IDA;IEA;NAS,ECO:0000314;ECO:0000501;ECO:0005547;ECO:0007322,GO_REF:0000044;GO_REF:0000052;GO_REF:0000120;PMID:17098863;PMID:24315095,Q8WYP5,ComplexPortal;HPA;UniProt,11
AHDC1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q5TGY3,HPA,1
AHR,GO:0005654,nucleoplasm,IDA;TAS,ECO:0000304;ECO:0000314,GO_REF:0000052;Reactome:R-HSA-8937169;Reactome:R-HSA-8937177;Reactome:R-HSA-8937191,P35869,HPA;Reactome,4
AHRR,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-8936851,A9YTQ3,Reactome,1
AIM2,GO:0005654;GO:0006974,DNA damage response;nucleoplasm,IBA;IDA;IEA;ISS,ECO:0000250;ECO:0000314;ECO:0000318;ECO:0000501,GO_REF:0000024;GO_REF:0000033;GO_REF:0000052;GO_REF:0000120,O14862,GO_Central;HPA;UniProt,4
AIP,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-8937169;Reactome:R-HSA-8937191,O00170,Reactome,2
AIRE,GO:0016604,nuclear body,IEA;ISS,ECO:0000250;ECO:0000265,GO_REF:0000024;GO_REF:0000107,O43918,Ensembl;UniProt,2
AIRIM,GO:0005654;GO:0005730,nucleolus;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9NX04,HPA,2
AK6,GO:0005654;GO:0005730;GO:0015030;GO:0016607,Cajal body;nuclear speck;nucleolus;nucleoplasm,IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0000501;ECO:0007322,GO_REF:0000044;GO_REF:0000052;GO_REF:0000120;PMID:16079131;Reactome:R-HSA-6788810,Q9Y3D8,HPA;Reactome;UniProt,7
AK9,GO:0005654;GO:0031965,nuclear membrane;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q5TCS8,HPA,2
AKAP17A,GO:0016607,nuclear speck,IBA;IDA;IEA,ECO:0000314;ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000044;GO_REF:0000052;PMID:16982639,Q02040,GO_Central;HPA;UniProt,4
AKAP6,GO:0005635;GO:0031965,nuclear envelope;nuclear membrane,IBA;IDA;IEA,ECO:0000256;ECO:0000314;ECO:0000318;ECO:0000501,GO_REF:0000033;GO_REF:0000117;GO_REF:0000120;PMID:10413680,Q13023,GO_Central;UniProt,4
AKAP8,GO:0005654;GO:0005730;GO:0016363,nuclear matrix;nucleolus;nucleoplasm,IBA;IDA;IEA;ISS,ECO:0000250;ECO:0000314;ECO:0000318;ECO:0000501;ECO:0007322,GO_REF:0000024;GO_REF:0000033;GO_REF:0000044;GO_REF:0000052;GO_REF:0000120;PMID:26683827,O43823,CACAO;GO_Central;HPA;UniProt,6
AKAP8L,GO:0005654;GO:0016363;GO:0016605;GO:0016607,nuclear matrix;nuclear speck;nucleoplasm;PML body,IBA;IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000044;GO_REF:0000052;PMID:11034899;PMID:16391387;PMID:17594903;Reactome:R-HSA-9821366;Reactome:R-HSA-9821368,Q9ULX6,GO_Central;HPA;Reactome;UniProt,10
AKIP1,GO:0005654,nucleoplasm,IBA;IDA,ECO:0000314;ECO:0000318,GO_REF:0000033;GO_REF:0000052,Q9NQ31,GO_Central;HPA,2
AKIRIN1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9H9L7,HPA,1
AKIRIN2,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q53H80,HPA,1
AKNA,GO:0001650;GO:0005654,fibrillar center;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q7Z591,HPA,2
AKR1B1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,P15121,HPA,1
AKT1,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-199298;Reactome:R-HSA-199299;Reactome:R-HSA-199839;Reactome:R-HSA-199863;Reactome:R-HSA-211164;Reactome:R-HSA-2399988;Reactome:R-HSA-2399992;Reactome:R-HSA-2399996;Reactome:R-HSA-2399997;Reactome:R-HSA-2399999;Reactome:R-HSA-3769394;Reactome:R-HSA-6805640;Reactome:R-HSA-6805785;Reactome:R-HSA-9624526;Reactome:R-HSA-9699579;Reactome:R-NUL-8939977,P31749,Reactome,16
AKT1S1,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-5082405,Q96B36,Reactome,1
AKT2,GO:0005654,nucleoplasm,IDA;TAS,ECO:0000304;ECO:0000314,GO_REF:0000052;Reactome:R-HSA-3769394,P31751,HPA;Reactome,2
AKT3,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-9825704,Q9Y243,Reactome,1
AKTIP,GO:0006301,DNA damage tolerance,IBA,ECO:0000318,GO_REF:0000033,Q9H8T0,GO_Central,1
ALAS1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,P13196,HPA,1
ALDH1A3,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,P47895,HPA,1
ALKBH1,GO:0005654;GO:0006281;GO:0006974,DNA damage response;DNA repair;nucleoplasm,IDA;IEA,ECO:0000314;ECO:0007322,GO_REF:0000043;GO_REF:0000052;PMID:19959401,Q13686,HPA;UniProt,4
ALKBH2,GO:0005654;GO:0005730;GO:0006281;GO:0006307;GO:0006974,DNA alkylation repair;DNA damage response;DNA repair;nucleolus;nucleoplasm,IBA;IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0000501;ECO:0007322,GO_REF:0000033;GO_REF:0000043;GO_REF:0000044;GO_REF:0000052;GO_REF:0000120;PMID:18432238;PMID:20714506;PMID:23972994;Reactome:R-HSA-112118;Reactome:R-HSA-112120;Reactome:R-HSA-112121;Reactome:R-HSA-5657641;Reactome:R-HSA-5657649;Reactome:R-HSA-5657665,Q6NS38,GO_Central;HPA;Reactome;UniProt,17
ALKBH3,GO:0005654;GO:0006281;GO:0006307;GO:0006974,DNA alkylation repair;DNA damage response;DNA repair;nucleoplasm,IBA;IDA;IEA;TAS,ECO:0000256;ECO:0000304;ECO:0000314;ECO:0000318;ECO:0000501;ECO:0007322,GO_REF:0000002;GO_REF:0000033;GO_REF:0000043;GO_REF:0000052;GO_REF:0000120;PMID:20714506;PMID:22055184;Reactome:R-HSA-112123;Reactome:R-HSA-112124;Reactome:R-HSA-112125;Reactome:R-HSA-5657617;Reactome:R-HSA-5657637;Reactome:R-HSA-5657642,Q96Q83,GO_Central;HPA;InterPro;Reactome;UniProt,14
ALKBH4,GO:0005730,nucleolus,IEA,ECO:0007322,GO_REF:0000044,Q9NXW9,UniProt,1
ALKBH5,GO:0005654;GO:0016607;GO:0042382,nuclear speck;nucleoplasm;paraspeckles,IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0000501,GO_REF:0000120;PMID:23177736;PMID:37474102;Reactome:R-HSA-8857692,Q6P6C2,Reactome;UniProt,6
ALKBH7,GO:0006974,DNA damage response,IDA;IEA,ECO:0000256;ECO:0000314,GO_REF:0000002;PMID:23666923,Q9BT30,InterPro;UniProt,2
ALKBH8,GO:0005654;GO:0006974,DNA damage response;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052;PMID:20308323,Q96BT7,HPA;UniProt,2
ALOX5,GO:0005635;GO:0005641;GO:0005654;GO:0016363;GO:0031965,nuclear envelope;nuclear envelope lumen;nuclear matrix;nuclear membrane;nucleoplasm,IBA;IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000044;GO_REF:0000052;PMID:19233132;PMID:8245774;Reactome:R-HSA-2161768;Reactome:R-HSA-2161907;Reactome:R-HSA-2161917;Reactome:R-HSA-265296;Reactome:R-HSA-266050;Reactome:R-HSA-266051;Reactome:R-HSA-9707186,P09917,GO_Central;HPA;Reactome;UniProt,17
ALOX5AP,GO:0005635;GO:0031965,nuclear envelope;nuclear membrane,IBA;IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0007322,GO_REF:0000033;GO_REF:0000044;PMID:19233132;PMID:8245774;Reactome:R-HSA-2161768;Reactome:R-HSA-2161907;Reactome:R-HSA-2161917;Reactome:R-HSA-265296;Reactome:R-HSA-266050;Reactome:R-HSA-266051;Reactome:R-HSA-9707186,P20292,GO_Central;Reactome;UniProt,11
ALX1,GO:0005654;GO:0016604,nuclear body;nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q15699,HPA,2
ALX4,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9H161,HPA,1
ALYREF,GO:0005654;GO:0016607,nuclear speck;nucleoplasm,IEA;TAS,ECO:0000304;ECO:0007322,GO_REF:0000044;Reactome:R-HSA-111439;Reactome:R-HSA-158441;Reactome:R-HSA-158481;Reactome:R-HSA-159046;Reactome:R-HSA-159101;Reactome:R-HSA-72180;Reactome:R-HSA-72185;Reactome:R-HSA-75096;Reactome:R-HSA-75097;Reactome:R-HSA-77587;Reactome:R-HSA-77594;Reactome:R-HSA-8849157;Reactome:R-HSA-9770131;Reactome:R-HSA-9770132;Reactome:R-HSA-9770141;Reactome:R-HSA-9770142;Reactome:R-HSA-9770145;Reactome:R-HSA-9770236;Reactome:R-HSA-9770847;Reactome:R-HSA-9794542,Q86V81,Reactome;UniProt,21
AMBP,GO:0031965,nuclear membrane,IEA,ECO:0007322,GO_REF:0000044,P02760,UniProt,1
AMER1,GO:0016604,nuclear body,IDA,ECO:0000314,GO_REF:0000052,Q5JTC6,HPA,1
AMER3,GO:0016604,nuclear body,IDA,ECO:0000314,GO_REF:0000052,Q8N944,HPA,1
AMMECR1,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q9Y4X0,HPA,1
AMZ2,GO:0005654,nucleoplasm,IDA,ECO:0000314,GO_REF:0000052,Q86W34,HPA,1
ANAPC1,GO:0005654,nucleoplasm,TAS,ECO:0000304,Reactome:R-HSA-174057;Reactome:R-HSA-174058;Reactome:R-HSA-174079;Reactome:R-HSA-174119;Reactome:R-HSA-174132;Reactome:R-HSA-174139;Reactome:R-HSA-188191;Reactome:R-HSA-188371;Reactome:R-HSA-3788705;Reactome:R-HSA-3788708;Reactome:R-HSA-3788724;Reactome:R-HSA-3788725;Reactome:R-HSA-68712;Reactome:R-HSA-9686969;Reactome:R-HSA-9686980;Reactome:R-HSA-9687377,Q9H1A4,Reactome,16
