gene_id,symbol,all_symbols,source_group,go_ids,go_names
1027,CDKN1B,CDKN1B,GO10,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
10273,STUB1,STUB1,GO10,GO:0006281;GO:0006974,DNA damage response;DNA repair
10280,SIGMAR1,SIGMAR1,GO10,GO:0005635;GO:0005637;GO:0005640,nuclear envelope;nuclear inner membrane;nuclear outer membrane
10286,BCAS2,BCAS2,GO10,GO:0005662,DNA replication factor A complex
10293,TRAIP,TRAIP,GO10,GO:0006281;GO:0006974;GO:0106300,DNA damage response;DNA repair;protein-DNA covalent cross-linking repair
1032,CDKN2D,CDKN2D,GO10,GO:0000731,DNA synthesis involved in DNA repair
10388,SYCP2,SYCP2,GO10,GO:0000794;GO:0000795;GO:0000800,condensed nuclear chromosome;lateral element;synaptonemal complex
10390,CEPT1,CEPT1,GO10,GO:0031965,nuclear membrane
10397,NDRG1,NDRG1,GO10,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
10413,YAP1,YAP1,GO10,GO:0006974,DNA damage response
10424,PGRMC2,PGRMC2,GO10,GO:0005635,nuclear envelope
10428,CFDP1,CFDP1,GO10,GO:0000812,Swr1 complex
10430,TMEM147,TMEM147,GO10,GO:0031965,nuclear membrane
10434,LYPLA1,LYPLA1,GO10,GO:0031965,nuclear membrane
10445,MCRS1,MCRS1,GO10,GO:0006281;GO:0006974;GO:0031011,DNA damage response;DNA repair;Ino80 complex
1045,CDX2,CDX2,GO10,GO:0000794,condensed nuclear chromosome
10451,VAV3,VAV3,GO10,GO:0006974,DNA damage response
10456,HAX1,HAX1,GO10,GO:0005635;GO:0031965,nuclear envelope;nuclear membrane
10459,MAD2L2,MAD2L2,GO10,GO:0006281;GO:0006302;GO:0006974;GO:0019985;GO:0042276;GO:0042772;GO:0043247,"DNA damage response;DNA damage response, signal transduction resulting in transcription;DNA repair;double-strand break repair;error-prone translesion synthesis;telomere maintenance in response to DNA damage;translesion synthesis"
10463,SLC30A9,SLC30A9,GO10,GO:0006289,nucleotide-excision repair
10467,ZNHIT1,ZNHIT1,GO10,GO:0000812,Swr1 complex
1047,CLGN,CLGN,GO10,GO:0005635,nuclear envelope
10482,NXF1,NXF1,GO10,GO:0005635;GO:0005643,nuclear envelope;nuclear pore
10498,CARM1,CARM1,GO10,GO:0043596,nuclear replication fork
10519,CIB1,CIB1,GO10,GO:0006302;GO:0006974,DNA damage response;double-strand break repair
