gene_id,symbol,all_symbols,go_ids,go_names
10001,MED6,MED6,GO:0016592;GO:0070847,core mediator complex;mediator complex
10010,TANK,TANK,GO:0006974,DNA damage response
100101267,POM121C,POM121C,GO:0005643;GO:0017056,nuclear pore;structural constituent of nuclear pore
10013,HDAC6,HDAC6,GO:0000118,histone deacetylase complex
100130932,SNRPGP15,SNRPGP15,GO:0005681;GO:0005682;GO:0005685;GO:0005686;GO:0005687;GO:0005689;GO:0030532;GO:0071004;GO:0071011;GO:0071013;GO:0097526,catalytic step 2 spliceosome;precatalytic spliceosome;small nuclear ribonucleoprotein complex;spliceosomal complex;spliceosomal tri-snRNP complex;U1 snRNP;U12-type spliceosomal complex;U2 snRNP;U2-type prespliceosome;U4 snRNP;U5 snRNP
100130958,SYCE1L,SYCE1L,GO:0000795,synaptonemal complex
100133315,XNDC1N,XNDC1N,GO:0000012,single strand break repair
100134934,TEN1,TEN1,GO:1990879,CST complex
10014,HDAC5,HDAC5,GO:0000118,histone deacetylase complex
10017,BCL2L10,BCL2L10,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
100170841,EPOP,EPOP,GO:0035098;GO:0070449,elongin complex;ESC/E(Z) complex
10018,BCL2L11,BCL2L11,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
10025,MED16,MED16,GO:0016592;GO:0070847,core mediator complex;mediator complex
100288540,POM121B,POM121B,GO:0005643;GO:0017056,nuclear pore;structural constituent of nuclear pore
100307126,CHMP4BP1,CHMP4BP1,GO:0005643,nuclear pore
10036,CHAF1A,CHAF1A,GO:0006281;GO:0006974,DNA damage response;DNA repair
10038,PARP2,PARP2,GO:0006281;GO:0006284;GO:0006302;GO:0006974;GO:0140861,base-excision repair;DNA damage response;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair
10039,PARP3,PARP3,GO:0006281;GO:0006302;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining
10042,HMGXB4,HMGXB4,GO:0016589,NURF complex
100507436,MICA,MICA,GO:0006974,DNA damage response
100507650,RNF212B,RNF212B,GO:0000795,synaptonemal complex
10051,SMC4,SMC4,GO:0000794,condensed nuclear chromosome
10054,UBA2,UBA2,GO:0031510,SUMO activating enzyme complex
10055,SAE1,SAE1,GO:0031510,SUMO activating enzyme complex
10062,NR1H3,NR1H3,GO:0090575,RNA polymerase II transcription regulator complex
10073,SNUPN,SNUPN,GO:0005643,nuclear pore
