symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
20s-pa200_human,GO:0006281;GO:0006974,DNA damage response;DNA repair,NAS,ECO:0005547,PMID:32134919,CPX-8841,ComplexPortal,2
9-1-1-clamp_human,GO:0000077,DNA damage checkpoint signaling,NAS,ECO:0005547,PMID:19464297,CPX-1829,ComplexPortal,1
A-328A3.5,GO:0006281,DNA repair,IEA,ECO:0000256,GO_REF:0000002,O60846,InterPro,1
A0A024R0I2,GO:0000711;GO:0000794;GO:0000795;GO:0000801;GO:0000802,central element;condensed nuclear chromosome;meiotic DNA repair synthesis;synaptonemal complex;transverse filament,IEA,ECO:0000265;ECO:0000501,GO_REF:0000107;GO_REF:0000120,A0A024R0I2,Ensembl;UniProt,5
A0A024R8G3,GO:0031965,nuclear membrane,IEA,ECO:0007322,GO_REF:0000044,A0A024R8G3,UniProt,1
A0A024RCM1,GO:0006281;GO:0006298;GO:0006974,DNA damage response;DNA repair;mismatch repair,IEA,ECO:0000256;ECO:0007322,GO_REF:0000002;GO_REF:0000043,A0A024RCM1,InterPro;UniProt,3
A0A059PXT9,GO:0006281,DNA repair,IEA,ECO:0000256,GO_REF:0000002,A0A059PXT9,InterPro,1
A0A087WWV3,GO:0000731,DNA synthesis involved in DNA repair,IEA,ECO:0000256,GO_REF:0000002,A0A087WWV3,InterPro,1
A0A0F6QNT9,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,IEA,ECO:0000256,GO_REF:0000117,A0A0F6QNT9,UniProt,1
A0A0U1RQC1,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0000501;ECO:0007322,GO_REF:0000043;GO_REF:0000120,A0A0U1RQC1,UniProt,2
A0A0U1RQM0,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0000501;ECO:0007322,GO_REF:0000043;GO_REF:0000120,A0A0U1RQM0,UniProt,2
A0A140VJI9,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0000501;ECO:0007322,GO_REF:0000043;GO_REF:0000120,A0A140VJI9,UniProt,2
A0A140VJR4,GO:0006974,DNA damage response,IEA,ECO:0007322,GO_REF:0000043,A0A140VJR4,UniProt,1
A0A140VJT9,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,A0A140VJT9,UniProt,2
A0A140VJV9,GO:0000711,meiotic DNA repair synthesis,IEA,ECO:0000501,GO_REF:0000120,A0A140VJV9,UniProt,1
A0A140VKG2,GO:0005635,nuclear envelope,IEA,ECO:0000265,GO_REF:0000107,A0A140VKG2,Ensembl,1
A0A140VKG9,GO:0000794;GO:0000795,condensed nuclear chromosome;synaptonemal complex,IEA,ECO:0000265,GO_REF:0000107,A0A140VKG9,Ensembl,2
A0A142I7X2,GO:0005643;GO:0031965,nuclear membrane;nuclear pore,IEA,ECO:0007322,GO_REF:0000044,A0A142I7X2,UniProt,2
A0A1U9X609,GO:0005635,nuclear envelope,IEA,ECO:0007322,GO_REF:0000044,A0A1U9X609,UniProt,1
A0A1U9X782,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,A0A1U9X782,UniProt,2
A0A1U9X785,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,A0A1U9X785,UniProt,2
A0A1U9X790,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,A0A1U9X790,UniProt,2
A0A1U9X7S4,GO:0006281;GO:0006289;GO:0006974,DNA damage response;DNA repair;nucleotide-excision repair,IEA,ECO:0000256;ECO:0007322,GO_REF:0000002;GO_REF:0000043,A0A1U9X7S4,InterPro;UniProt,3
A0A1U9X7X2,GO:0006974;GO:0007095;GO:0008630,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;mitotic G2 DNA damage checkpoint signaling,IEA,ECO:0000265,GO_REF:0000107,A0A1U9X7X2,Ensembl,3
A0A1U9X821,GO:0006281;GO:0006298;GO:0006974,DNA damage response;DNA repair;mismatch repair,IEA,ECO:0000256;ECO:0007322,GO_REF:0000002;GO_REF:0000043,A0A1U9X821,InterPro;UniProt,3
A0A1U9X823,GO:0006281;GO:0006298;GO:0006974,DNA damage response;DNA repair;mismatch repair,IEA,ECO:0000256;ECO:0007322,GO_REF:0000002;GO_REF:0000043,A0A1U9X823,InterPro;UniProt,3
A0A1U9X825,GO:0006281;GO:0006298;GO:0006974,DNA damage response;DNA repair;mismatch repair,IEA,ECO:0000256;ECO:0007322,GO_REF:0000002;GO_REF:0000043,A0A1U9X825,InterPro;UniProt,3
A0A1U9X826,GO:0006281;GO:0006298;GO:0006974,DNA damage response;DNA repair;mismatch repair,IEA,ECO:0000256;ECO:0007322,GO_REF:0000002;GO_REF:0000043,A0A1U9X826,InterPro;UniProt,3
A0A1U9X828,GO:0006281;GO:0006298;GO:0006974,DNA damage response;DNA repair;mismatch repair,IEA,ECO:0000256;ECO:0007322,GO_REF:0000002;GO_REF:0000043,A0A1U9X828,InterPro;UniProt,3
A0A1U9X835,GO:0006281;GO:0006298;GO:0006974,DNA damage response;DNA repair;mismatch repair,IEA,ECO:0000256;ECO:0007322,GO_REF:0000002;GO_REF:0000043,A0A1U9X835,InterPro;UniProt,3
A0A1U9X845,GO:0005637;GO:0031965,nuclear inner membrane;nuclear membrane,IDA;IEA,ECO:0000314;ECO:0007322,GO_REF:0000044;GO_REF:0000052,A0A1U9X845,HPA;UniProt,2
A0A1U9X8A3,GO:0006974,DNA damage response,IEA,ECO:0007322,GO_REF:0000043,A0A1U9X8A3,UniProt,1
A0A1U9X8Y4,GO:0031965,nuclear membrane,IEA,ECO:0007322,GO_REF:0000044,A0A1U9X8Y4,UniProt,1
A0A1U9XBB2,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,A0A1U9XBB2,UniProt,2
A0A1U9XBC0,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,A0A1U9XBC0,UniProt,2
A0A1U9XBC1,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,A0A1U9XBC1,UniProt,2
A0A1U9XBC2,GO:0006281;GO:0006974,DNA damage response;DNA repair,IEA,ECO:0007322,GO_REF:0000043,A0A1U9XBC2,UniProt,2
