GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A087WUV0	ZNF892	located_in	GO:0005654	nucleoplasm	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026290	9606	UniProt		C
UniProtKB	A0A1W2PP81	TAF11L5	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
UniProtKB	A0A1W2PP81	TAF11L5	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PPE2	TAF11L4	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
UniProtKB	A0A1W2PPE2	TAF11L4	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PPF3	DUXB	located_in	GO:0005654	nucleoplasm	ECO:0000304	TAS	Reactome:R-HSA-9817941		9606	Reactome		C
UniProtKB	A0A1W2PPH5	TAF11L13	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
UniProtKB	A0A1W2PPH5	TAF11L13	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PPL8	TAF11L14	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
UniProtKB	A0A1W2PPL8	TAF11L14	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PPW3	TAF11L12	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
UniProtKB	A0A1W2PPW3	TAF11L12	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PQ09	TAF11L11	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
UniProtKB	A0A1W2PQ09	TAF11L11	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PR64	TAF11L9	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
UniProtKB	A0A1W2PR64	TAF11L9	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PRV1	TAF11L3	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR045127	9606	InterPro		C
