gene_id,symbol,all_symbols,go_ids,go_names
10111,RAD50,RAD50,GO:0000724;GO:0000729;GO:0000794;GO:0005654;GO:0006281;GO:0006302;GO:0006974;GO:0016604;GO:0030870;GO:0070533,BRCA1-C complex;condensed nuclear chromosome;DNA damage response;DNA double-strand break processing;DNA repair;double-strand break repair;double-strand break repair via homologous recombination;Mre11 complex;nuclear body;nucleoplasm
10112,KIF20A,KIF20A,GO:0005654,nucleoplasm
10114,HIPK3,HIPK3,GO:0005654;GO:0016604;GO:0016605,nuclear body;nucleoplasm;PML body
10116,FEM1B,FEM1B,GO:0005654,nucleoplasm
10124,ARL4A,ARL4A,GO:0005730,nucleolus
10128,LRPPRC,LRPPRC,GO:0000794;GO:0005637;GO:0005640;GO:0005654,condensed nuclear chromosome;nuclear inner membrane;nuclear outer membrane;nucleoplasm
10133,OPTN,OPTN,GO:0005654,nucleoplasm
10137,RBM12,RBM12,GO:0005654,nucleoplasm
10138,YAF2,YAF2,GO:0005654;GO:0035102,nucleoplasm;PRC1 complex
10147,SUGP2,SUGP2,GO:0005654;GO:0016604,nuclear body;nucleoplasm
10150,MBNL2,MBNL2,GO:0005654,nucleoplasm
10152,ABI2,ABI2,GO:0005654,nucleoplasm
10153,CEBPZ,CEBPZ,GO:0005654;GO:0016602,CCAAT-binding factor complex;nucleoplasm
10155,TRIM28,TRIM28,GO:0005654;GO:0006281;GO:0090575,DNA repair;nucleoplasm;RNA polymerase II transcription regulator complex
1017,CDK2,CDK2,GO:0005635;GO:0005654;GO:0006281;GO:0006974;GO:0015030;GO:0031571;GO:0043247,Cajal body;DNA damage response;DNA repair;mitotic G1 DNA damage checkpoint signaling;nuclear envelope;nucleoplasm;telomere maintenance in response to DNA damage
10171,RCL1,RCL1,GO:0005654;GO:0005730;GO:0032040,nucleolus;nucleoplasm;small-subunit processome
10172,ZNF256,ZNF256,GO:0005654,nucleoplasm
10178,TENM1,TENM1,GO:0016363;GO:0016607,nuclear matrix;nuclear speck
10179,RBM7,RBM7,GO:0005654;GO:0005730;GO:0062141,nuclear exosome targeting complex;nucleolus;nucleoplasm
1018,CDK3,CDK3,GO:0006974,DNA damage response
10181,RBM5,RBM5,GO:0005654;GO:0005681,nucleoplasm;spliceosomal complex
10189,ALYREF,ALYREF,GO:0000346;GO:0005654;GO:0005681;GO:0016607;GO:0035145;GO:0071013,catalytic step 2 spliceosome;exon-exon junction complex;nuclear speck;nucleoplasm;spliceosomal complex;transcription export complex
1019,CDK4,CDK4,GO:0005654;GO:0005730;GO:0031965,nuclear membrane;nucleolus;nucleoplasm
101927423,PANO1,PANO1,GO:0005730,nucleolus
101928601,MEI4,MEI4,GO:0000794;GO:0000800,condensed nuclear chromosome;lateral element
101929977,MARCHF6-DT,MARCHF6-DT,GO:0005730,nucleolus
10197,PSME3,PSME3,GO:0005654,nucleoplasm
10199,MPHOSPH10,MPHOSPH10,GO:0005654;GO:0005730;GO:0032040;GO:0034457,Mpp10 complex;nucleolus;nucleoplasm;small-subunit processome
1020,CDK5,CDK5,GO:0005654;GO:0046826,negative regulation of protein export from nucleus;nucleoplasm
10200,MPHOSPH6,MPHOSPH6,GO:0000176;GO:0005654;GO:0005730,nuclear exosome (RNase complex);nucleolus;nucleoplasm
10202,DHRS2,DHRS2,GO:0005635;GO:0005654,nuclear envelope;nucleoplasm
10204,NUTF2,NUTF2,GO:0005637;GO:0005640;GO:0005643;GO:0005654;GO:0017056;GO:0031965;GO:0044613,nuclear inner membrane;nuclear membrane;nuclear outer membrane;nuclear pore;nuclear pore central transport channel;nucleoplasm;structural constituent of nuclear pore
10208,USPL1,USPL1,GO:0015030,Cajal body
1021,CDK6,CDK6,GO:0005654;GO:0006974,DNA damage response;nucleoplasm
10210,TOPORS,TOPORS,GO:0005654;GO:0006974;GO:0008630;GO:0016605;GO:0016607;GO:0042771;GO:0051457,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;maintenance of protein location in nucleus;nuclear speck;nucleoplasm;PML body
10211,FLOT1,FLOT1,GO:0008180,COP9 signalosome
10212,DDX39A,DDX39A,GO:0000346;GO:0005654,nucleoplasm;transcription export complex
10213,PSMD14,PSMD14,GO:0000724;GO:0005654;GO:0006281;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination;double-strand break repair via nonhomologous end joining;nucleoplasm
102157402,AK6,AK6,GO:0005654;GO:0005730;GO:0015030;GO:0016607,Cajal body;nuclear speck;nucleolus;nucleoplasm
1022,CDK7,CDK7,GO:0000439;GO:0001650;GO:0005654;GO:0005675;GO:0006281;GO:0006289;GO:0006974;GO:0070516;GO:0070985,CAK-ERCC2 complex;DNA damage response;DNA repair;fibrillar center;nucleoplasm;nucleotide-excision repair;transcription factor TFIIH core complex;transcription factor TFIIH holo complex;transcription factor TFIIK complex
10227,MFSD10,MFSD10,GO:0005637,nuclear inner membrane
10236,HNRNPR,HNRNPR,GO:0005654;GO:0005681;GO:0005730;GO:0071013,catalytic step 2 spliceosome;nucleolus;nucleoplasm;spliceosomal complex
10238,DCAF7,DCAF7,GO:0005654;GO:0016363,nuclear matrix;nucleoplasm
1024,CDK8,CDK8,GO:0005654;GO:0005730;GO:0016592;GO:1990508,CKM complex;mediator complex;nucleolus;nucleoplasm
10241,CALCOCO2,CALCOCO2,GO:0016605,PML body
10248,POP7,POP7,GO:0005654;GO:0005655;GO:0005730,nucleolar ribonuclease P complex;nucleolus;nucleoplasm
