symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
SNUPN,GO:0005643,nuclear pore,TAS,ECO:0000304,PMID:9670026,O95149,PINC,1
SNW1,GO:0005681;GO:0008024;GO:0071006;GO:0071007;GO:0071013;GO:0071014;GO:0071018;GO:0071020,catalytic step 2 spliceosome;cyclin/CDK positive transcription elongation factor complex;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U12-type catalytic step 2 spliceosome;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome,IDA;IPI,ECO:0000314;ECO:0000353,PMID:11991638;PMID:15194481;PMID:15905409;PMID:28076346;PMID:30728453;PMID:33509932;PMID:35705093;PMID:39068178,Q13573,ComplexPortal;UniProt,13
SORL1,GO:0005641,nuclear envelope lumen,IDA,ECO:0000314,PMID:17855360;PMID:21989385,Q92673,Alzheimers_University_of_Toronto,2
SP100,GO:0030870,Mre11 complex,IDA,ECO:0000314,PMID:15767676,P23497,UniProt,1
SPAG4,GO:0005635;GO:0034993,meiotic nuclear membrane microtubule tethering complex;nuclear envelope,IBA,ECO:0000318,GO_REF:0000033,Q9NPE6,GO_Central,2
SPAST,GO:0031965,nuclear membrane,IMP,ECO:0000315,PMID:26040712,Q9UBP0,UniProt,1
SPATA46,GO:0031965,nuclear membrane,IBA;ISS,ECO:0000250;ECO:0000318,GO_REF:0000024;GO_REF:0000033,Q5T0L3,GO_Central;UniProt,2
SPIDR,GO:0000228,nuclear chromosome,IBA;IDA,ECO:0000314;ECO:0000318,GO_REF:0000033;PMID:23509288,Q14159,GO_Central;UniProt,2
SPO11,GO:0000228,nuclear chromosome,IBA,ECO:0000318,GO_REF:0000033,Q9Y5K1,GO_Central,1
SRCAP,GO:0000812,Swr1 complex,IBA;IDA,ECO:0000314;ECO:0000318,GO_REF:0000033;PMID:16634648;PMID:17617668;PMID:30337683,Q6ZRS2,GO_Central;UniProt,4
SREBF1,GO:0005635,nuclear envelope,TAS,ECO:0000304,PMID:8156598,P36956,PINC,1
SRRM1,GO:0005681;GO:0071006;GO:0071013;GO:0071018,catalytic step 2 spliceosome;spliceosomal complex;U12-type catalytic step 2 spliceosome;U2-type catalytic step 1 spliceosome,IBA;IDA;IPI,ECO:0000314;ECO:0000318;ECO:0000353,GO_REF:0000033;PMID:11991638;PMID:33509932;PMID:39068178,Q8IYB3,ComplexPortal;GO_Central;UniProt,5
SRRM2,GO:0005681;GO:0071005;GO:0071006;GO:0071007;GO:0071013;GO:0071018;GO:0071020,catalytic step 2 spliceosome;post-spliceosomal complex;spliceosomal complex;U12-type catalytic step 2 spliceosome;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome;U2-type precatalytic spliceosome,IDA;IPI,ECO:0000314;ECO:0000353,PMID:11991638;PMID:28076346;PMID:29361316;PMID:30728453;PMID:33509932;PMID:35705093;PMID:39068178,Q9UQ35,ComplexPortal;UniProt,11
SRSF1,GO:0035145;GO:0071013,catalytic step 2 spliceosome;exon-exon junction complex,IDA,ECO:0000314,PMID:11991638;PMID:16314458,Q07955,UniProt,2
SS18,GO:0016514;GO:0140288,GBAF complex;SWI/SNF complex,IDA;NAS,ECO:0000314;ECO:0005547,PMID:29374058,Q15532,ComplexPortal;UniProt,2
SSRP1,GO:0035101,FACT complex,IBA;IPI,ECO:0000318;ECO:0000353,GO_REF:0000033;PMID:16902406,Q08945,ComplexPortal;GO_Central,2
SSU72,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,IBA,ECO:0000318,GO_REF:0000033,Q9NP77,GO_Central,1
SSU72L1,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,IBA,ECO:0000318,GO_REF:0000033,A0A1W2PQ27,GO_Central,1
SSU72L2,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,IBA,ECO:0000318,GO_REF:0000033,A0A1W2PQD8,GO_Central,1
SSU72L3,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,IBA,ECO:0000318,GO_REF:0000033,A0A1W2PQJ5,GO_Central,1
SSU72L4,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,IBA,ECO:0000318,GO_REF:0000033,A0A1W2PQC6,GO_Central,1
SSU72L5,GO:0005847,mRNA cleavage and polyadenylation specificity factor complex,IBA,ECO:0000318,GO_REF:0000033,A0A1W2PQ64,GO_Central,1
