GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A0A024QYX0	EBP	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A024RDP2	RNF6	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A0A0MSZ7	MCM3AP	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A0C4DG40	SYNE1	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A0C4DH48	SYNE1	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A0D9SFY5	LMNB1	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A0D9SG25	IPO5	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A0G2JI20	NUP50	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A0G2JIF9	NUP50	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A1U9X845	A0A1U9X845	located_in	GO:0031965	nuclear membrane	ECO:0000314	IDA	GO_REF:0000052		9606	HPA		C
UniProtKB	A0A1W2PP81	TAF11L5	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PPE2	TAF11L4	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PPH5	TAF11L13	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PPL8	TAF11L14	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
UniProtKB	A0A1W2PPW3	TAF11L12	part_of	GO:0005669	transcription factor TFIID complex	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0011291|PANTHER:PTN000325119|PomBase:SPAC1002.04c|SGD:S000004477|UniProtKB:Q15544	9606	GO_Central		C
