symbol,source_group,go_ids,go_names
A1CF,GO8,GO:0030895,apolipoprotein B mRNA editing enzyme complex
AAAS,GO8,GO:0005643,nuclear pore
AAR2,GO8,GO:0005681;GO:0005682,spliceosomal complex;U5 snRNP
AATF,GO8,GO:0032040,small-subunit processome
ABL1,GO8,GO:0006281;GO:0006298;GO:0006974;GO:0008630;GO:0042770,DNA damage response;DNA repair;intrinsic apoptotic signaling pathway in response to DNA damage;mismatch repair;signal transduction in response to DNA damage
ACD,GO8,GO:0000783;GO:0005697;GO:0031848;GO:0070187,nuclear telomere cap complex;protection from non-homologous end joining at telomere;shelterin complex;telomerase holoenzyme complex
ACER2,GO8,GO:0006974;GO:0030330,"DNA damage response;DNA damage response, signal transduction by p53 class mediator"
ACTB,GO8,GO:0016514;GO:0016586;GO:0035060;GO:0071564;GO:0071565;GO:0140092;GO:0140288,bBAF complex;brahma complex;GBAF complex;nBAF complex;npBAF complex;RSC-type complex;SWI/SNF complex
ACTL6A,GO8,GO:0006281;GO:0006974;GO:0016514;GO:0016586;GO:0031011;GO:0035060;GO:0071564;GO:0140288,brahma complex;DNA damage response;DNA repair;GBAF complex;Ino80 complex;npBAF complex;RSC-type complex;SWI/SNF complex
ACTL6B,GO8,GO:0016514;GO:0016586;GO:0035060;GO:0071565;GO:0140092;GO:0140288,bBAF complex;brahma complex;GBAF complex;nBAF complex;RSC-type complex;SWI/SNF complex
ACTR5,GO8,GO:0006281;GO:0006302;GO:0006974;GO:0031011;GO:0070914,DNA damage response;DNA repair;double-strand break repair;Ino80 complex;UV-damage excision repair
ACTR6,GO8,GO:0000812,Swr1 complex
ACTR8,GO8,GO:0006281;GO:0006302;GO:0006974;GO:0031011,DNA damage response;DNA repair;double-strand break repair;Ino80 complex
ADAR,GO8,GO:0044530,supraspliceosomal complex
ADD3,GO8,GO:0000794,condensed nuclear chromosome
ADNP,GO8,GO:0090575,RNA polymerase II transcription regulator complex
AEBP2,GO8,GO:0035098,ESC/E(Z) complex
AEN,GO8,GO:0006974;GO:0042771,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
AFF1,GO8,GO:0008023;GO:0032783,super elongation complex;transcription elongation factor complex
AFF2,GO8,GO:0032783,super elongation complex
AFF3,GO8,GO:0032783,super elongation complex
AFF4,GO8,GO:0008023;GO:0032783,super elongation complex;transcription elongation factor complex
AGER,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
AGFG1,GO8,GO:0005643,nuclear pore
AGO3,GO8,GO:0000794,condensed nuclear chromosome
AHCTF1,GO8,GO:0005643;GO:0031080,nuclear pore;nuclear pore outer ring
AHR,GO8,GO:0034753,nuclear aryl hydrocarbon receptor complex
AIM2,GO8,GO:0006974,DNA damage response
AKAP17A,GO8,GO:0005681,spliceosomal complex
AKTIP,GO8,GO:0006301,DNA damage tolerance
ALKBH1,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
ALKBH2,GO8,GO:0006281;GO:0006307;GO:0006974,DNA alkylation repair;DNA damage response;DNA repair
ALKBH3,GO8,GO:0006281;GO:0006307;GO:0006974,DNA alkylation repair;DNA damage response;DNA repair
ALKBH7,GO8,GO:0006974,DNA damage response
ALKBH8,GO8,GO:0006974,DNA damage response
ALYREF,GO8,GO:0000346;GO:0005681;GO:0035145;GO:0071013,catalytic step 2 spliceosome;exon-exon junction complex;spliceosomal complex;transcription export complex
AMOT,GO8,GO:0008180,COP9 signalosome
AMOTL1,GO8,GO:0008180,COP9 signalosome
ANAPC1,GO8,GO:0005680,anaphase-promoting complex
ANAPC10,GO8,GO:0005680,anaphase-promoting complex
ANAPC11,GO8,GO:0005680,anaphase-promoting complex
ANAPC13,GO8,GO:0005680,anaphase-promoting complex
ANAPC15,GO8,GO:0005680,anaphase-promoting complex
ANAPC16,GO8,GO:0005680,anaphase-promoting complex
ANAPC2,GO8,GO:0005680,anaphase-promoting complex
ANAPC4,GO8,GO:0005680,anaphase-promoting complex
ANAPC5,GO8,GO:0005680,anaphase-promoting complex
ANAPC7,GO8,GO:0005680,anaphase-promoting complex
ANKLE1,GO8,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
ANP32E,GO8,GO:0000812,Swr1 complex
ANXA2,GO8,GO:0090575,RNA polymerase II transcription regulator complex
AP5S1,GO8,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
AP5Z1,GO8,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
APBB1,GO8,GO:0006974,DNA damage response
APC,GO8,GO:0006974,DNA damage response
APEX1,GO8,GO:0006281;GO:0006284;GO:0006287;GO:0006974;GO:0097698,"base-excision repair;base-excision repair, gap-filling;DNA damage response;DNA repair;telomere maintenance via base-excision repair"
APEX2,GO8,GO:0006281;GO:0006284;GO:0006974,base-excision repair;DNA damage response;DNA repair
API5,GO8,GO:0005681,spliceosomal complex
APLF,GO8,GO:0000012;GO:0006281;GO:0006302;GO:0006303;GO:0006974;GO:0070421;GO:0140861,DNA damage response;DNA ligase III-XRCC1 complex;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair;double-strand break repair via nonhomologous end joining;single strand break repair
APOBEC1,GO8,GO:0030895,apolipoprotein B mRNA editing enzyme complex
APOBEC3F,GO8,GO:0030895,apolipoprotein B mRNA editing enzyme complex
APOBEC3G,GO8,GO:0030895,apolipoprotein B mRNA editing enzyme complex
APTX,GO8,GO:0000012;GO:0006281;GO:0006974;GO:0070421,DNA damage response;DNA ligase III-XRCC1 complex;DNA repair;single strand break repair
AQR,GO8,GO:0005681;GO:0071006;GO:0071007;GO:0071013;GO:0071014;GO:0071020,catalytic step 2 spliceosome;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
ARFGEF1,GO8,GO:0030532,small nuclear ribonucleoprotein complex
ARID1A,GO8,GO:0016514;GO:0035060;GO:0071564;GO:0071565;GO:0140092,bBAF complex;brahma complex;nBAF complex;npBAF complex;SWI/SNF complex
ARID1B,GO8,GO:0016514;GO:0035060;GO:0071564;GO:0071565;GO:0140092,bBAF complex;brahma complex;nBAF complex;npBAF complex;SWI/SNF complex
ARID2,GO8,GO:0016514;GO:0016586,RSC-type complex;SWI/SNF complex
ARID4A,GO8,GO:0070822,Sin3-type complex
ARID4B,GO8,GO:0070822,Sin3-type complex
ARL2,GO8,GO:0051457,maintenance of protein location in nucleus
ARL2BP,GO8,GO:0051457,maintenance of protein location in nucleus
ARMC7,GO8,GO:0005681;GO:0071018,spliceosomal complex;U12-type catalytic step 2 spliceosome
ARNT,GO8,GO:0034753;GO:0090575,nuclear aryl hydrocarbon receptor complex;RNA polymerase II transcription regulator complex
ASCC1,GO8,GO:0006281;GO:0006307;GO:0006974,DNA alkylation repair;DNA damage response;DNA repair
ASCC2,GO8,GO:0006281;GO:0006307;GO:0006974,DNA alkylation repair;DNA damage response;DNA repair
ASCC3,GO8,GO:0006281;GO:0006307;GO:0006974,DNA alkylation repair;DNA damage response;DNA repair
ASCL1,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ASCL2,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ASCL3,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ASCL4,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ASCL5,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ASF1A,GO8,GO:0006281;GO:0006974;GO:0140861,DNA damage response;DNA repair;DNA repair-dependent chromatin remodeling
ASH2L,GO8,GO:0006974;GO:0035097;GO:0044665;GO:0044666;GO:0048188;GO:0071339,DNA damage response;histone methyltransferase complex;MLL1 complex;MLL1/2 complex;MLL3/4 complex;Set1C/COMPASS complex
ASTE1,GO8,GO:0000724;GO:0006303,double-strand break repair via homologous recombination;double-strand break repair via nonhomologous end joining
ASXL1,GO8,GO:0035517,PR-DUB complex
ASXL2,GO8,GO:0035517,PR-DUB complex
ASXL3,GO8,GO:0035517,PR-DUB complex
ATAD3A,GO8,GO:0006974,DNA damage response
ATAD5,GO8,GO:0006974;GO:0008630;GO:0042770;GO:0042771,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;signal transduction in response to DNA damage
ATF1,GO8,GO:0090575;GO:1990589;GO:1990590,ATF1-ATF4 transcription factor complex;ATF4-CREB1 transcription factor complex;RNA polymerase II transcription regulator complex
ATF2,GO8,GO:0006974;GO:0031573;GO:0090575,DNA damage response;mitotic intra-S DNA damage checkpoint signaling;RNA polymerase II transcription regulator complex
ATF3,GO8,GO:0090575;GO:1990622,CHOP-ATF3 complex;RNA polymerase II transcription regulator complex
ATF4,GO8,GO:0090575;GO:1990589;GO:1990590;GO:1990617,ATF1-ATF4 transcription factor complex;ATF4-CREB1 transcription factor complex;CHOP-ATF4 complex;RNA polymerase II transcription regulator complex
ATF5,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ATF6,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ATF6B,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ATF7,GO8,GO:0090575,RNA polymerase II transcription regulator complex
ATM,GO8,GO:0000077;GO:0000724;GO:0000729;GO:0006281;GO:0006302;GO:0006303;GO:0006974;GO:0007095;GO:0008630;GO:0030330;GO:0042770,"DNA damage checkpoint signaling;DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA double-strand break processing;DNA repair;double-strand break repair;double-strand break repair via homologous recombination;double-strand break repair via nonhomologous end joining;intrinsic apoptotic signaling pathway in response to DNA damage;mitotic G2 DNA damage checkpoint signaling;signal transduction in response to DNA damage"
ATMIN,GO8,GO:0006974,DNA damage response
ATR,GO8,GO:0000077;GO:0006281;GO:0006302;GO:0006974;GO:0036297;GO:0070310,ATR-ATRIP complex;DNA damage checkpoint signaling;DNA damage response;DNA repair;double-strand break repair;interstrand cross-link repair
ATRIP,GO8,GO:0000077;GO:0006281;GO:0006974;GO:0070310,ATR-ATRIP complex;DNA damage checkpoint signaling;DNA damage response;DNA repair
ATRX,GO8,GO:0000228;GO:0006281;GO:0006974;GO:0030330,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA repair;nuclear chromosome"
ATXN3,GO8,GO:0006289,nucleotide-excision repair
ATXN7,GO8,GO:0033276,transcription factor TFTC complex
ATXN7L3,GO8,GO:0033276;GO:0071819,DUBm complex;transcription factor TFTC complex
AUNIP,GO8,GO:0000724;GO:0006281;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination
AUTS2,GO8,GO:0035102,PRC1 complex
BABAM1,GO8,GO:0006281;GO:0006302;GO:0006974;GO:0007095;GO:0070531;GO:0070552;GO:0140861,BRCA1-A complex;BRISC complex;DNA damage response;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair;mitotic G2 DNA damage checkpoint signaling
BACH1,GO8,GO:0006281;GO:0090575,DNA repair;RNA polymerase II transcription regulator complex
BACH2,GO8,GO:0090575,RNA polymerase II transcription regulator complex
BAD,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BAG6,GO8,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
BAHD1,GO8,GO:0005677,chromatin silencing complex
BAK1,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BAP1,GO8,GO:0035517,PR-DUB complex
BARD1,GO8,GO:0000152;GO:0006281;GO:0006974;GO:0031436;GO:0046826;GO:0070531;GO:0070532;GO:0070533,BRCA1-A complex;BRCA1-B complex;BRCA1-BARD1 complex;BRCA1-C complex;DNA damage response;DNA repair;negative regulation of protein export from nucleus;nuclear ubiquitin ligase complex
BASP1,GO8,GO:0008180,COP9 signalosome
BATF,GO8,GO:0006974;GO:0030330;GO:0090575,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;RNA polymerase II transcription regulator complex"
BATF2,GO8,GO:0090575,RNA polymerase II transcription regulator complex
BATF3,GO8,GO:0090575,RNA polymerase II transcription regulator complex
BAX,GO8,GO:0006974;GO:0008630,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage
BAZ1A,GO8,GO:0000228;GO:0008623;GO:0016590,ACF complex;CHRAC;nuclear chromosome
BAZ1B,GO8,GO:0006974;GO:0043596;GO:0090535;GO:0110016,B-WICH complex;DNA damage response;nuclear replication fork;WICH complex
BAZ2A,GO8,GO:0005677;GO:0090536,chromatin silencing complex;NoRC complex
BBC3,GO8,GO:0006974;GO:0042771,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
BBS10,GO8,GO:0006974,DNA damage response
BBS4,GO8,GO:0051457,maintenance of protein location in nucleus
BCAS2,GO8,GO:0005662;GO:0005681;GO:0071006;GO:0071007;GO:0071013;GO:0071014;GO:0071020,catalytic step 2 spliceosome;DNA replication factor A complex;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
BCCIP,GO8,GO:0006281;GO:0006974;GO:0019908,DNA damage response;DNA repair;nuclear cyclin-dependent protein kinase holoenzyme complex
BCL11A,GO8,GO:0016514,SWI/SNF complex
BCL11B,GO8,GO:0016514,SWI/SNF complex
BCL2,GO8,GO:0006974;GO:0008630,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage
BCL2A1,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BCL2L1,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BCL2L10,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BCL2L11,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BCL2L2,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BCL3,GO8,GO:0006974;GO:0030330;GO:0042771,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator"
BCL6,GO8,GO:0006974,DNA damage response
BCL7A,GO8,GO:0016514;GO:0140288,GBAF complex;SWI/SNF complex
BCL7B,GO8,GO:0016514;GO:0140288,GBAF complex;SWI/SNF complex
BCL7C,GO8,GO:0016514;GO:0140288,GBAF complex;SWI/SNF complex
BCL9,GO8,GO:1990907,beta-catenin-TCF complex
BCL9L,GO8,GO:1990907,beta-catenin-TCF complex
BCLAF1,GO8,GO:0006974;GO:0016592,DNA damage response;mediator complex
BCOR,GO8,GO:0035102;GO:0140261,BCOR complex;PRC1 complex
BCORL1,GO8,GO:0035102,PRC1 complex
BICD2,GO8,GO:0005643,nuclear pore
BID,GO8,GO:0042770,signal transduction in response to DNA damage
BIN1,GO8,GO:0090571,RNA polymerase II transcription repressor complex
BIRC2,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BIRC3,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BIRC5,GO8,GO:0000228;GO:1990713,nuclear chromosome;survivin complex
BLM,GO8,GO:0000228;GO:0000724;GO:0000729;GO:0000800;GO:0006281;GO:0006974;GO:0007095,DNA damage response;DNA double-strand break processing;DNA repair;double-strand break repair via homologous recombination;lateral element;mitotic G2 DNA damage checkpoint signaling;nuclear chromosome
BMI1,GO8,GO:0031519;GO:0035102,PcG protein complex;PRC1 complex
BMS1,GO8,GO:0032040,small-subunit processome
BOD1,GO8,GO:0048188,Set1C/COMPASS complex
BOD1L1,GO8,GO:0006281;GO:0006974;GO:0048188,DNA damage response;DNA repair;Set1C/COMPASS complex
BOK,GO8,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
BOP1,GO8,GO:0070545,PeBoW complex
BPTF,GO8,GO:0016589,NURF complex
BRAT1,GO8,GO:0006974,DNA damage response
BRCA1,GO8,GO:0000152;GO:0000724;GO:0000794;GO:0000800;GO:0006281;GO:0006301;GO:0006302;GO:0006974;GO:0007095;GO:0008630;GO:0031436;GO:0070531;GO:0070532;GO:0070533,BRCA1-A complex;BRCA1-B complex;BRCA1-BARD1 complex;BRCA1-C complex;condensed nuclear chromosome;DNA damage response;DNA damage tolerance;DNA repair;double-strand break repair;double-strand break repair via homologous recombination;intrinsic apoptotic signaling pathway in response to DNA damage;lateral element;mitotic G2 DNA damage checkpoint signaling;nuclear ubiquitin ligase complex
BRCA2,GO8,GO:0000152;GO:0000724;GO:0000800;GO:0006281;GO:0006289;GO:0006302;GO:0006974;GO:0008630;GO:0030330;GO:0042771,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;DNA repair;double-strand break repair;double-strand break repair via homologous recombination;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;lateral element;nuclear ubiquitin ligase complex;nucleotide-excision repair"
BRCC3,GO8,GO:0000152;GO:0006281;GO:0006302;GO:0006974;GO:0007095;GO:0070531;GO:0070552;GO:0140861,BRCA1-A complex;BRISC complex;DNA damage response;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair;mitotic G2 DNA damage checkpoint signaling;nuclear ubiquitin ligase complex
BRD1,GO8,GO:0036409,histone H3-K14 acetyltransferase complex
BRD4,GO8,GO:0000794;GO:0006974,condensed nuclear chromosome;DNA damage response
BRD7,GO8,GO:0016586,RSC-type complex
BRD8,GO8,GO:0000812,Swr1 complex
BRD9,GO8,GO:0000724;GO:0016514;GO:0140288,double-strand break repair via homologous recombination;GBAF complex;SWI/SNF complex
BRIP1,GO8,GO:0000077;GO:0006281;GO:0006289;GO:0006302;GO:0006974;GO:0010705;GO:0070532;GO:0106300;GO:1990918,BRCA1-B complex;DNA damage checkpoint signaling;DNA damage response;DNA repair;double-strand break repair;double-strand break repair involved in meiotic recombination;meiotic DNA double-strand break processing involved in reciprocal meiotic recombination;nucleotide-excision repair;protein-DNA covalent cross-linking repair
BRMS1,GO8,GO:0070822,Sin3-type complex
BRMS1L,GO8,GO:0070822,Sin3-type complex
BRSK1,GO8,GO:0006974;GO:0007095,DNA damage response;mitotic G2 DNA damage checkpoint signaling
BTG2,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
BUB1B,GO8,GO:0005680;GO:0033597,anaphase-promoting complex;mitotic checkpoint complex
BUB3,GO8,GO:0033597,mitotic checkpoint complex
BUD13,GO8,GO:0005681;GO:0005684;GO:0005686;GO:0070274;GO:0071005;GO:0071006;GO:0071018,RES complex;spliceosomal complex;U12-type catalytic step 2 spliceosome;U2 snRNP;U2-type catalytic step 1 spliceosome;U2-type precatalytic spliceosome;U2-type spliceosomal complex
BUD31,GO8,GO:0005681;GO:0071006;GO:0071007;GO:0071014;GO:0071020,post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
C11orf54,GO8,GO:0006974,DNA damage response
C1D,GO8,GO:0000176,nuclear exosome (RNase complex)
C1QBP,GO8,GO:0006974,DNA damage response
C9orf78,GO8,GO:0005681,spliceosomal complex
CABLES2,GO8,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
CACTIN,GO8,GO:0005681;GO:0071006;GO:0071007;GO:0071013,catalytic step 2 spliceosome;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
CAMSAP3,GO8,GO:0031298,replication fork protection complex
CARM1,GO8,GO:0043596,nuclear replication fork
CASC3,GO8,GO:0005681;GO:0035145;GO:0071006;GO:0071007;GO:0071020,exon-exon junction complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
CASP2,GO8,GO:0006974;GO:0008630;GO:0030330,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage"
CASP3,GO8,GO:0006974,DNA damage response
CASP9,GO8,GO:0006974;GO:0008630;GO:0042770,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;signal transduction in response to DNA damage
CBFB,GO8,GO:0016513,core-binding factor complex
CBL,GO8,GO:0006974,DNA damage response
CBX1,GO8,GO:0006974,DNA damage response
CBX2,GO8,GO:0031519;GO:0035102,PcG protein complex;PRC1 complex
CBX3,GO8,GO:0006974;GO:0061793;GO:0090575,chromatin lock complex;DNA damage response;RNA polymerase II transcription regulator complex
CBX4,GO8,GO:0031519;GO:0035102,PcG protein complex;PRC1 complex
CBX5,GO8,GO:0000118;GO:0006974;GO:0035097,DNA damage response;histone deacetylase complex;histone methyltransferase complex
CBX6,GO8,GO:0031519;GO:0035102,PcG protein complex;PRC1 complex
CBX7,GO8,GO:0031519;GO:0035102,PcG protein complex;PRC1 complex
CBX8,GO8,GO:0031519;GO:0035102,PcG protein complex;PRC1 complex
CCAR2,GO8,GO:0006974,DNA damage response
CCDC12,GO8,GO:0005684;GO:0071014,post-mRNA release spliceosomal complex;U2-type spliceosomal complex
CCDC13,GO8,GO:0006974,DNA damage response
CCDC9,GO8,GO:0035145,exon-exon junction complex
CCNB1IP1,GO8,GO:0000794;GO:0000795,condensed nuclear chromosome;synaptonemal complex
CCNC,GO8,GO:0016592;GO:1990508,CKM complex;mediator complex
CCND1,GO8,GO:0006974;GO:0031571,DNA damage response;mitotic G1 DNA damage checkpoint signaling
CCNH,GO8,GO:0000439;GO:0005675;GO:0006289;GO:0070516;GO:0070985,CAK-ERCC2 complex;nucleotide-excision repair;transcription factor TFIIH core complex;transcription factor TFIIH holo complex;transcription factor TFIIK complex
CCNK,GO8,GO:0006974;GO:0008024,cyclin/CDK positive transcription elongation factor complex;DNA damage response
CCNT1,GO8,GO:0008024;GO:0070691,cyclin/CDK positive transcription elongation factor complex;P-TEFb complex
CCNT2,GO8,GO:0008024,cyclin/CDK positive transcription elongation factor complex
CD2BP2,GO8,GO:0005681;GO:0005682;GO:0046540,spliceosomal complex;U4/U6 x U5 tri-snRNP complex;U5 snRNP
CDC14B,GO8,GO:0006281;GO:0006974;GO:0007095,DNA damage response;DNA repair;mitotic G2 DNA damage checkpoint signaling
CDC16,GO8,GO:0005680,anaphase-promoting complex
CDC20,GO8,GO:0005680;GO:0033597,anaphase-promoting complex;mitotic checkpoint complex
CDC20B,GO8,GO:0005680,anaphase-promoting complex
CDC23,GO8,GO:0005680,anaphase-promoting complex
CDC26,GO8,GO:0005680,anaphase-promoting complex
CDC27,GO8,GO:0005680,anaphase-promoting complex
CDC40,GO8,GO:0005681;GO:0071006;GO:0071007;GO:0071013;GO:0071014;GO:0071020,catalytic step 2 spliceosome;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
CDC45,GO8,GO:0000727;GO:0031261;GO:0071162,CMG complex;DNA replication preinitiation complex;double-strand break repair via break-induced replication
