symbol,source_group,go_ids,go_names
CDC5L,GO8,GO:0000077;GO:0005662;GO:0005681;GO:0006281;GO:0006974;GO:0071006;GO:0071007;GO:0071013;GO:0071014;GO:0071018;GO:0071020,catalytic step 2 spliceosome;DNA damage checkpoint signaling;DNA damage response;DNA repair;DNA replication factor A complex;post-mRNA release spliceosomal complex;post-spliceosomal complex;spliceosomal complex;U12-type catalytic step 2 spliceosome;U2-type catalytic step 1 spliceosome;U2-type catalytic step 2 spliceosome
CDC7,GO8,GO:0000727;GO:0031431;GO:0031573,Dbf4-dependent protein kinase complex;double-strand break repair via break-induced replication;mitotic intra-S DNA damage checkpoint signaling
CDC73,GO8,GO:0016593,Cdc73/Paf1 complex
CDCA5,GO8,GO:0006302,double-strand break repair
CDIP1,GO8,GO:0042771,intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator
CDK1,GO8,GO:0006281;GO:0006974;GO:0007095,DNA damage response;DNA repair;mitotic G2 DNA damage checkpoint signaling
CDK12,GO8,GO:0008024;GO:0019908,cyclin/CDK positive transcription elongation factor complex;nuclear cyclin-dependent protein kinase holoenzyme complex
CDK13,GO8,GO:0008024;GO:0019908,cyclin/CDK positive transcription elongation factor complex;nuclear cyclin-dependent protein kinase holoenzyme complex
CDK19,GO8,GO:1990508,CKM complex
CDK2,GO8,GO:0006281;GO:0006974;GO:0031571;GO:0043247,DNA damage response;DNA repair;mitotic G1 DNA damage checkpoint signaling;telomere maintenance in response to DNA damage
CDK2AP1,GO8,GO:0016581,NuRD complex
CDK2AP2,GO8,GO:0016581,NuRD complex
CDK3,GO8,GO:0006974,DNA damage response
CDK5,GO8,GO:0046826,negative regulation of protein export from nucleus
CDK5RAP3,GO8,GO:0007095,mitotic G2 DNA damage checkpoint signaling
CDK6,GO8,GO:0006974,DNA damage response
CDK7,GO8,GO:0000439;GO:0005675;GO:0006281;GO:0006289;GO:0006974;GO:0070516;GO:0070985,CAK-ERCC2 complex;DNA damage response;DNA repair;nucleotide-excision repair;transcription factor TFIIH core complex;transcription factor TFIIH holo complex;transcription factor TFIIK complex
CDK8,GO8,GO:0016592;GO:1990508,CKM complex;mediator complex
CDK9,GO8,GO:0006281;GO:0006974;GO:0008023;GO:0008024;GO:0070691,cyclin/CDK positive transcription elongation factor complex;DNA damage response;DNA repair;P-TEFb complex;transcription elongation factor complex
CDKN1A,GO8,GO:0006974;GO:0007095;GO:0030330;GO:0031571;GO:0042771;GO:0070557,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;mitotic G1 DNA damage checkpoint signaling;mitotic G2 DNA damage checkpoint signaling;PCNA-p21 complex"
CDKN1B,GO8,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
CDKN2AIP,GO8,GO:0006974,DNA damage response
CDKN2D,GO8,GO:0000731,DNA synthesis involved in DNA repair
CDX2,GO8,GO:0000794,condensed nuclear chromosome
CEBPA,GO8,GO:0036488;GO:0090575;GO:1990647,C/EBP complex;CHOP-C/EBP complex;RNA polymerase II transcription regulator complex
CEBPB,GO8,GO:0036488;GO:0090575;GO:1990647,C/EBP complex;CHOP-C/EBP complex;RNA polymerase II transcription regulator complex
CEBPD,GO8,GO:0090575,RNA polymerase II transcription regulator complex
CEBPE,GO8,GO:0090575,RNA polymerase II transcription regulator complex
CEBPG,GO8,GO:0090575,RNA polymerase II transcription regulator complex
CEBPZ,GO8,GO:0016602,CCAAT-binding factor complex
CECR2,GO8,GO:0031010;GO:0090537,CERF complex;ISWI-type complex
CEP164,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
CEP63,GO8,GO:0000077;GO:0006974;GO:0042770,DNA damage checkpoint signaling;DNA damage response;signal transduction in response to DNA damage
CETN2,GO8,GO:0005643;GO:0006281;GO:0006289;GO:0006974;GO:0044615;GO:0070390;GO:0071942,DNA damage response;DNA repair;nuclear pore;nuclear pore nuclear basket;nucleotide-excision repair;transcription export complex 2;XPC complex
CETN3,GO8,GO:0005643;GO:0044615;GO:0070390,nuclear pore;nuclear pore nuclear basket;transcription export complex 2
CFDP1,GO8,GO:0000812,Swr1 complex
CHAF1A,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
CHAF1B,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
CHCHD6,GO8,GO:0006974,DNA damage response
CHD1,GO8,GO:0000228,nuclear chromosome
CHD1L,GO8,GO:0006281;GO:0006974,DNA damage response;DNA repair
CHD2,GO8,GO:0006974,DNA damage response
CHD3,GO8,GO:0016581,NuRD complex
CHD4,GO8,GO:0000724;GO:0016581;GO:0090575,double-strand break repair via homologous recombination;NuRD complex;RNA polymerase II transcription regulator complex
CHD5,GO8,GO:0016581,NuRD complex
CHD8,GO8,GO:0071339,MLL1 complex
