gene_id,symbol,all_symbols,go_ids,go_names
10010,TANK,TANK,GO:0006974,DNA damage response
100101267,POM121C,POM121C,GO:0005635;GO:0005643;GO:0017056;GO:0031965,nuclear envelope;nuclear membrane;nuclear pore;structural constituent of nuclear pore
100130958,SYCE1L,SYCE1L,GO:0000795,synaptonemal complex
100131211,NEMP2,NEMP2,GO:0005635;GO:0005637,nuclear envelope;nuclear inner membrane
100133315,XNDC1N,XNDC1N,GO:0000012,single strand break repair
10017,BCL2L10,BCL2L10,GO:0008630;GO:0031965,intrinsic apoptotic signaling pathway in response to DNA damage;nuclear membrane
10018,BCL2L11,BCL2L11,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage
100288540,POM121B,POM121B,GO:0005643;GO:0017056,nuclear pore;structural constituent of nuclear pore
100288687,DUX4,DUX4,GO:0031965,nuclear membrane
100307126,CHMP4BP1,CHMP4BP1,GO:0005635;GO:0005643,nuclear envelope;nuclear pore
10036,CHAF1A,CHAF1A,GO:0006281;GO:0006974,DNA damage response;DNA repair
10038,PARP2,PARP2,GO:0006281;GO:0006284;GO:0006302;GO:0006974;GO:0140861,base-excision repair;DNA damage response;DNA repair;DNA repair-dependent chromatin remodeling;double-strand break repair
10039,PARP3,PARP3,GO:0006281;GO:0006302;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair;double-strand break repair via nonhomologous end joining
100507165,CUSTOS,CUSTOS,GO:0005635,nuclear envelope
100507436,MICA,MICA,GO:0006974,DNA damage response
100507650,RNF212B,RNF212B,GO:0000795,synaptonemal complex
10051,SMC4,SMC4,GO:0000794,condensed nuclear chromosome
10073,SNUPN,SNUPN,GO:0005643,nuclear pore
10075,HUWE1,HUWE1,GO:0006281;GO:0006284;GO:0006974,base-excision repair;DNA damage response;DNA repair
100861532,SIX6OS1,SIX6OS1,GO:0000801;GO:0010705,central element;meiotic DNA double-strand break processing involved in reciprocal meiotic recombination
10111,RAD50,RAD50,GO:0000724;GO:0000729;GO:0000794;GO:0006281;GO:0006302;GO:0006974,condensed nuclear chromosome;DNA damage response;DNA double-strand break processing;DNA repair;double-strand break repair;double-strand break repair via homologous recombination
10128,LRPPRC,LRPPRC,GO:0000794;GO:0005637;GO:0005640,condensed nuclear chromosome;nuclear inner membrane;nuclear outer membrane
10155,TRIM28,TRIM28,GO:0006281,DNA repair
1017,CDK2,CDK2,GO:0005635;GO:0006281;GO:0006974;GO:0031571;GO:0043247,DNA damage response;DNA repair;mitotic G1 DNA damage checkpoint signaling;nuclear envelope;telomere maintenance in response to DNA damage
1018,CDK3,CDK3,GO:0006974,DNA damage response
1019,CDK4,CDK4,GO:0031965,nuclear membrane
101928601,MEI4,MEI4,GO:0000794;GO:0000800,condensed nuclear chromosome;lateral element
1020,CDK5,CDK5,GO:0046826,negative regulation of protein export from nucleus
10202,DHRS2,DHRS2,GO:0005635,nuclear envelope
10204,NUTF2,NUTF2,GO:0005637;GO:0005640;GO:0005643;GO:0017056;GO:0031965;GO:0044613,nuclear inner membrane;nuclear membrane;nuclear outer membrane;nuclear pore;nuclear pore central transport channel;structural constituent of nuclear pore
1021,CDK6,CDK6,GO:0006974,DNA damage response
10210,TOPORS,TOPORS,GO:0006974;GO:0008630;GO:0042771;GO:0051457,DNA damage response;intrinsic apoptotic signaling pathway in response to DNA damage;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;maintenance of protein location in nucleus
10213,PSMD14,PSMD14,GO:0000724;GO:0006281;GO:0006303;GO:0006974,DNA damage response;DNA repair;double-strand break repair via homologous recombination;double-strand break repair via nonhomologous end joining
1022,CDK7,CDK7,GO:0006281;GO:0006289;GO:0006974,DNA damage response;DNA repair;nucleotide-excision repair
10227,MFSD10,MFSD10,GO:0005637,nuclear inner membrane
1025,CDK9,CDK9,GO:0006281;GO:0006974,DNA damage response;DNA repair
1026,CDKN1A,CDKN1A,GO:0006974;GO:0007095;GO:0030330;GO:0031571;GO:0042771,"DNA damage response;DNA damage response, signal transduction by p53 class mediator;intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator;mitotic G1 DNA damage checkpoint signaling;mitotic G2 DNA damage checkpoint signaling"
10269,ZMPSTE24,ZMPSTE24,GO:0005635;GO:0005637;GO:0006281;GO:0006974,DNA damage response;DNA repair;nuclear envelope;nuclear inner membrane
1027,CDKN1B,CDKN1B,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
10273,STUB1,STUB1,GO:0006281;GO:0006974,DNA damage response;DNA repair
10280,SIGMAR1,SIGMAR1,GO:0005635;GO:0005637;GO:0005640,nuclear envelope;nuclear inner membrane;nuclear outer membrane
10286,BCAS2,BCAS2,GO:0005662,DNA replication factor A complex
10293,TRAIP,TRAIP,GO:0006281;GO:0006974;GO:0106300,DNA damage response;DNA repair;protein-DNA covalent cross-linking repair
1032,CDKN2D,CDKN2D,GO:0000731,DNA synthesis involved in DNA repair
10388,SYCP2,SYCP2,GO:0000794;GO:0000795;GO:0000800,condensed nuclear chromosome;lateral element;synaptonemal complex
10390,CEPT1,CEPT1,GO:0031965,nuclear membrane
10397,NDRG1,NDRG1,GO:0030330,"DNA damage response, signal transduction by p53 class mediator"
10413,YAP1,YAP1,GO:0006974,DNA damage response
10424,PGRMC2,PGRMC2,GO:0005635,nuclear envelope
10428,CFDP1,CFDP1,GO:0000812,Swr1 complex
10430,TMEM147,TMEM147,GO:0031965,nuclear membrane
10434,LYPLA1,LYPLA1,GO:0031965,nuclear membrane
10445,MCRS1,MCRS1,GO:0006281;GO:0006974;GO:0031011,DNA damage response;DNA repair;Ino80 complex
1045,CDX2,CDX2,GO:0000794,condensed nuclear chromosome
10451,VAV3,VAV3,GO:0006974,DNA damage response
10456,HAX1,HAX1,GO:0005635;GO:0031965,nuclear envelope;nuclear membrane
