symbol,go_ids,go_names,evidence_set,eco_set,refs,gene_products,assigned_by,n_annotations
A1CF,GO:0030895,apolipoprotein B mRNA editing enzyme complex,IDA;IEA,ECO:0000256;ECO:0000314,GO_REF:0000117;PMID:10781591;PMID:24916387,Q9NQ94,UniProt,3
A8MVJ9,GO:0006302;GO:0006974;GO:0140861,DNA damage response;DNA repair-dependent chromatin remodeling;double-strand break repair,IBA;IEA,ECO:0000256;ECO:0000318,GO_REF:0000002;GO_REF:0000033,A8MVJ9,GO_Central;InterPro,3
AAAS,GO:0005635;GO:0005643;GO:0031965,nuclear envelope;nuclear membrane;nuclear pore,IBA;IDA;IEA;NAS;TAS,ECO:0000304;ECO:0000314;ECO:0000318;ECO:0005547;ECO:0007322,GO_REF:0000033;GO_REF:0000044;GO_REF:0000052;PMID:12730363;PMID:24315095;PMID:27754849;Reactome:R-HSA-1176059;Reactome:R-HSA-165043;Reactome:R-HSA-165047;Reactome:R-HSA-170796;Reactome:R-HSA-170825;Reactome:R-HSA-180622;Reactome:R-HSA-192627;Reactome:R-HSA-192925;Reactome:R-HSA-2990880;Reactome:R-HSA-2990882;Reactome:R-HSA-3000348;Reactome:R-HSA-3000399;Reactome:R-HSA-3000411;Reactome:R-HSA-4551649;Reactome:R-HSA-4551679;Reactome:R-HSA-4570493;Reactome:R-HSA-4615872;Reactome:R-HSA-4615987;Reactome:R-HSA-4655355;Reactome:R-HSA-5228508;Reactome:R-HSA-5228523;Reactome:R-HSA-5252041;Reactome:R-HSA-5578744;Reactome:R-HSA-5661474;Reactome:R-HSA-6783483;Reactome:R-HSA-75096;Reactome:R-HSA-75097;Reactome:R-HSA-75098;Reactome:R-HSA-9614367;Reactome:R-HSA-9614369;Reactome:R-HSA-9708889,Q9NRG9,ComplexPortal;GO_Central;HPA;MGI;Reactome;UniProt,40
AAR2,GO:0005681;GO:0005682,spliceosomal complex;U5 snRNP,IEA;ISS;NAS,ECO:0000250;ECO:0005547;ECO:0007322,GO_REF:0000024;GO_REF:0000043;PMID:36322420,Q9Y312,ComplexPortal;FlyBase;UniProt,3
AATF,GO:0032040,small-subunit processome,IDA;NAS,ECO:0000314;ECO:0005547,PMID:34516797,Q9NY61,ComplexPortal;UniProt,2
ABCF1,GO:0005635,nuclear envelope,IEA,ECO:0007322,GO_REF:0000044,Q8NE71,UniProt,1
ABL1,GO:0006281;GO:0006298;GO:0006974;GO:0008630;GO:0031965;GO:0042770,DNA damage response;DNA repair;intrinsic apoptotic signaling pathway in response to DNA damage;mismatch repair;nuclear membrane;signal transduction in response to DNA damage,IDA;IEA;TAS,ECO:0000304;ECO:0000314;ECO:0007322,GO_REF:0000043;GO_REF:0000044;PMID:10391249;PMID:15657060;PMID:18280240;PMID:20841568;PMID:9037071,P00519,PINC;UniProt,10
ABRAXAS1,GO:0006281;GO:0006302;GO:0006974;GO:0007095;GO:0070531,BRCA1-A complex;DNA damage response;DNA repair;double-strand break repair;mitotic G2 DNA damage checkpoint signaling,IDA;IEA;IMP;NAS,ECO:0000314;ECO:0000315;ECO:0005547;ECO:0007322,GO_REF:0000043;PMID:17525340;PMID:17643121;PMID:19261746;PMID:19261748;PMID:19261749;PMID:20656689,Q6UWZ7,ComplexPortal;UniProt,13
ABRAXAS2,GO:0070552,BRISC complex,IDA;IPI;NAS,ECO:0000314;ECO:0000353;ECO:0005547,PMID:19214193;PMID:24075985;PMID:31253574,Q15018,ComplexPortal;UniProt,4
ACD,GO:0000783;GO:0005697;GO:0031848;GO:0070187,nuclear telomere cap complex;protection from non-homologous end joining at telomere;shelterin complex;telomerase holoenzyme complex,IBA;IDA;IEA;IMP;IPI;ISS;TAS,ECO:0000250;ECO:0000256;ECO:0000265;ECO:0000304;ECO:0000314;ECO:0000315;ECO:0000318;ECO:0000353;ECO:0000501,GO_REF:0000002;GO_REF:0000033;GO_REF:0000107;GO_REF:0000120;PMID:15383534;PMID:16880378;PMID:17237768;PMID:18185984;PMID:21852327;PMID:23685356,Q96AP0,BHF-UCL;ComplexPortal;Ensembl;GO_Central;InterPro;UniProt,12
